ref	commit	header	poulsbo_build
refs/heads/master	430673f78b79eccdf308a6bbfb524209b485d2cc	ABSENT	ABSENT
refs/remotes/origin/1.17.4948957/mesa/k6.1	9ae0fa4998b1c624408945e062bf8fb0ea7efb9d	services4/srvkm/hwdefs/sgx535defs.h	ABSENT
refs/remotes/origin/HEAD	430673f78b79eccdf308a6bbfb524209b485d2cc	ABSENT	ABSENT
refs/remotes/origin/am4/k3.14	8b71d01c7f2d8d1b00d9d5255536da66a8bdf790	ABSENT	ABSENT
refs/remotes/origin/am4/k4.1	f7ae3f68dd6a05f67b15702b823ed15d2c03105d	ABSENT	ABSENT
refs/remotes/origin/devel-next	62f31de3ceed156bff32abb3dd03693a02df117e	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	ABSENT
refs/remotes/origin/dra7/experimental	a24ae6b2573b7eb1dc94473aa9953b964079b5c6	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	ABSENT
refs/remotes/origin/dra7/k3.12	0912e7542f34413b9a52119b22e807532221d461	ABSENT	ABSENT
refs/remotes/origin/dra7/k3.14	877a45ba3797fecdadcae35cc09103e9bec72b0e	ABSENT	ABSENT
refs/remotes/origin/dra7/k3.8	ce8e788072e2f72aaf8c09bdd6a6436bec9ddfb6	ABSENT	ABSENT
refs/remotes/origin/dra7/k4.1	c53a5dfb9f4d5612c372ec8e252cb13a731c9c10	ABSENT	ABSENT
refs/remotes/origin/img-sgx	cb46ba4d0c900f89f7ec0284f9803d476bfa98de	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	eurasia_km/eurasiacon/build/linux2/pc_i686_poulsbo_d0_linux/Makefile
refs/remotes/origin/master	430673f78b79eccdf308a6bbfb524209b485d2cc	ABSENT	ABSENT
refs/remotes/origin/next	c5a0d8c31ac338c759163edb4c295883ea2adc35	ABSENT	ABSENT
refs/remotes/origin/ti-img-sgx/1.14.3699939/k4.1	fed0756f1b8b9d526da2821635c7d742989d47c3	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	eurasia_km/eurasiacon/build/linux2/pc_i686_poulsbo_d0_linux/Makefile
refs/remotes/origin/ti-img-sgx/1.14.3699939/k4.14	76da7d73976f0a5dc04fdc84a3af899d6c2b1fe2	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	eurasia_km/eurasiacon/build/linux2/pc_i686_poulsbo_d0_linux/Makefile
refs/remotes/origin/ti-img-sgx/1.14.3699939/k4.4	fd47e44b18944cf7ade480ac67a9c0172619ff7e	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	eurasia_km/eurasiacon/build/linux2/pc_i686_poulsbo_d0_linux/Makefile
refs/remotes/origin/ti-img-sgx/1.14.3699939/k4.9	0086977380d3320d70a3abc78b95fa0641427073	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	eurasia_km/eurasiacon/build/linux2/pc_i686_poulsbo_d0_linux/Makefile
refs/remotes/origin/ti-img-sgx/1.17.4948957/k4.14	c545bf1c937b6067d27b7a268093baa3b8091185	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	ABSENT
refs/remotes/origin/ti-img-sgx/1.17.4948957/k4.19	2a777b8fb72a89d299b82845d42b63b2a2618daa	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	ABSENT
refs/remotes/origin/ti-img-sgx/1.17.4948957/k5.10	eda7780bfd5277e16913c9bc0b0e6892b4e79063	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	ABSENT
refs/remotes/origin/ti-img-sgx/1.17.4948957/k5.4	bfe83bbabb3849c24b03d5172cf678e7c5915e04	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	ABSENT
refs/remotes/origin/ti-img-sgx/1.17.4948957/k6.1	bfd9edef3f976906fb7fececbfa29d16801154f5	eurasia_km/services4/srvkm/hwdefs/sgx535defs.h	ABSENT
refs/tags/TI_LINUX_OMAP_SGX_DDK_1.9_2253347	6668f4ea0bbf7e3df7f72dc2230ab8da1e748b2d	ABSENT	ABSENT
refs/tags/glsdk_6.04.00.02	ce8e788072e2f72aaf8c09bdd6a6436bec9ddfb6	ABSENT	ABSENT
refs/tags/glsdk_6.10.00.01	eec409d9fcd363f1f8217eb7898a96ff9024a05f	ABSENT	ABSENT
refs/tags/glsdk_6.10.00.02	bf8997b894f216261f914f64d33e6e588770da5a	ABSENT	ABSENT
refs/tags/glsdk_7.00.00.04	0f3561a47cf7a1b968fb64446a0be10abc9a15d5	ABSENT	ABSENT
refs/tags/glsdk_7.01.00.03	430673f78b79eccdf308a6bbfb524209b485d2cc	ABSENT	ABSENT
refs/tags/glsdk_7.02.00.02	b6f1e4d6f55b05d15f67b91738b45a2b5bdffe65	ABSENT	ABSENT
refs/tags/glsdk_7.03.00.03	03991033fcad439901955d54de24368c216041f2	ABSENT	ABSENT
refs/tags/glsdk_7.04.00.03	958ac7ebd945bc1594cf27e32219ca0cc2a3ce29	ABSENT	ABSENT
refs/tags/ti_imgddk_1.9.0.11	7e084e0452bfaa495d2a9c06c7a420bac35d8d99	ABSENT	ABSENT
refs/tags/ti_imgddk_1.9.0.12	7e084e0452bfaa495d2a9c06c7a420bac35d8d99	ABSENT	ABSENT
refs/tags/ti_imgddk_1.9.1.0	eec409d9fcd363f1f8217eb7898a96ff9024a05f	ABSENT	ABSENT
