linux_name	linux_value	linux_line	ti_name	ti_value	ti_line	result
PSB_CR_CLKGATECTL	0x0	13	EUR_CR_CLKGATECTL	0x0	46	EQUAL
PSB_CR_CORE_ID	0x10	31	EUR_CR_CORE_ID	0x10	90	EQUAL
PSB_CR_CORE_REVISION	0x14	37	EUR_CR_CORE_REVISION	0x14	96	EQUAL
PSB_CR_DESIGNER_REV_FIELD1	0x18	47	EUR_CR_DESIGNER_REV_FIELD1	0x18	106	EQUAL
PSB_CR_SOFT_RESET	0x80	49	EUR_CR_SOFT_RESET	0x80	114	EQUAL
PSB_CR_DESIGNER_REV_FIELD2	0x1c	58	EUR_CR_DESIGNER_REV_FIELD2	0x1c	110	EQUAL
PSB_CR_EVENT_HOST_ENABLE2	0x110	60	EUR_CR_EVENT_HOST_ENABLE2	0x110	130	EQUAL
PSB_CR_EVENT_STATUS2	0x118	62	EUR_CR_EVENT_STATUS2	0x118	166	EQUAL
PSB_CR_EVENT_HOST_CLEAR2	0x114	64	EUR_CR_EVENT_HOST_CLEAR2	0x114	148	EQUAL
PSB_CR_EVENT_STATUS	0x12c	67	EUR_CR_EVENT_STATUS	0x12c	184	EQUAL
PSB_CR_EVENT_HOST_ENABLE	0x130	69	EUR_CR_EVENT_HOST_ENABLE	0x130	248	EQUAL
PSB_CR_EVENT_HOST_CLEAR	0x134	71	EUR_CR_EVENT_HOST_CLEAR	0x134	312	EQUAL
PSB_CR_USE_CODE_BASE0	0xa0c	89	EUR_CR_USE_CODE_BASE0	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE1	0xa10	90	EUR_CR_USE_CODE_BASE1	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE2	0xa14	91	EUR_CR_USE_CODE_BASE2	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE3	0xa18	92	EUR_CR_USE_CODE_BASE3	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE4	0xa1c	93	EUR_CR_USE_CODE_BASE4	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE5	0xa20	94	EUR_CR_USE_CODE_BASE5	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE6	0xa24	95	EUR_CR_USE_CODE_BASE6	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE7	0xa28	96	EUR_CR_USE_CODE_BASE7	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE8	0xa2c	97	EUR_CR_USE_CODE_BASE8	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE9	0xa30	98	EUR_CR_USE_CODE_BASE9	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE10	0xa34	99	EUR_CR_USE_CODE_BASE10	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE11	0xa38	100	EUR_CR_USE_CODE_BASE11	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE12	0xa3c	101	EUR_CR_USE_CODE_BASE12	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE13	0xa40	102	EUR_CR_USE_CODE_BASE13	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE14	0xa44	103	EUR_CR_USE_CODE_BASE14	ABSENT	-	UNKNOWN
PSB_CR_USE_CODE_BASE15	0xa48	104	EUR_CR_USE_CODE_BASE15	ABSENT	-	UNKNOWN
PSB_CR_PDS_EXEC_BASE	0xab8	116	EUR_CR_PDS_EXEC_BASE	0xab8	376	EQUAL
PSB_CR_EVENT_KICKER	0xac4	120	EUR_CR_EVENT_KICKER	0xac4	380	EQUAL
PSB_CR_EVENT_KICK	0xac8	123	EUR_CR_EVENT_KICK	0xac8	384	EQUAL
PSB_CR_BIF_DIR_LIST_BASE1	0xc38	126	EUR_CR_BIF_DIR_LIST_BASE1	0xc38	540	EQUAL
PSB_CR_BIF_CTRL	0xc00	128	EUR_CR_BIF_CTRL	0xc00	418	EQUAL
PSB_CR_BIF_INT_STAT	0xc04	133	EUR_CR_BIF_INT_STAT	0xc04	448	EQUAL
PSB_CR_BIF_FAULT	0xc08	135	EUR_CR_BIF_FAULT	0xc08	456	EQUAL
PSB_CR_BIF_BANK0	0xc78	149	EUR_CR_BIF_BANK0	0xc78	604	EQUAL
PSB_CR_BIF_BANK1	0xc7c	150	EUR_CR_BIF_BANK1	0xc7c	616	EQUAL
PSB_CR_BIF_DIR_LIST_BASE0	0xc84	151	EUR_CR_BIF_DIR_LIST_BASE0	0xc84	632	EQUAL
PSB_CR_BIF_TWOD_REQ_BASE	0xc88	152	EUR_CR_BIF_TWOD_REQ_BASE	0xc88	636	EQUAL
PSB_CR_BIF_3D_REQ_BASE	0xcac	153	EUR_CR_BIF_3D_REQ_BASE	0xcac	680	EQUAL
PSB_CR_2D_SOCIF	0xe18	155	EUR_CR_2D_SOCIF	0xe18	718	EQUAL
PSB_CR_2D_BLIT_STATUS	0xe04	160	EUR_CR_2D_BLIT_STATUS	0xe04	694	EQUAL
