repository,representative_commit,file,line,text,commit_occurrences,platform,core,revision,offset,read_width,moment,power_clock,locks,reset_init_order,read_side_effects,source_kind,confidence
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/include4/servicesext.h,91,"	PVRSRV_ERROR_CORE_REVISION_MISMATCH,",166,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/include/pvrsrv_errors.h,105,"		case PVRSRV_ERROR_CORE_REVISION_MISMATCH:		return ""PVRSRV_ERROR_CORE_REVISION_MISMATCH"";",166,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,877a45ba3797fecdadcae35cc09103e9bec72b0e,eurasia_km/services4/include/sgx_ukernel_status_codes.h,540,#define MKTC_CPRI_ABORT_CORE_IDX				0xAD001245,67,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,877a45ba3797fecdadcae35cc09103e9bec72b0e,eurasia_km/services4/include/sgx_ukernel_status_codes.h,541,MKTC_ST(MKTC_CPRI_ABORT_CORE_IDX),67,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,a24ae6b2573b7eb1dc94473aa9953b964079b5c6,eurasia_km/services4/include/sgx_ukernel_status_codes.h,556,#define MKTC_CPRI_ABORT_CORE_IDX				0xAD001245,1,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,a24ae6b2573b7eb1dc94473aa9953b964079b5c6,eurasia_km/services4/include/sgx_ukernel_status_codes.h,557,MKTC_ST(MKTC_CPRI_ABORT_CORE_IDX),1,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/include/sgx_ukernel_status_codes.h,558,#define MKTC_CPRI_ABORT_CORE_IDX				0xAD001245,98,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/include/sgx_ukernel_status_codes.h,559,MKTC_ST(MKTC_CPRI_ABORT_CORE_IDX),98,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,877a45ba3797fecdadcae35cc09103e9bec72b0e,eurasia_km/services4/srvkm/devices/sgx/sgxconfig.h,251,	#define SGX_CORE_IDENTIFIED,67,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/devices/sgx/sgxconfig.h,325,	#define SGX_CORE_IDENTIFIED,99,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
