index,name,elf_va,size,type,binding,section_index
0,,0x00000000,0,0,0,0
1,getpagesize,0x00000000,0,2,1,0
2,fputs,0x00000000,0,2,1,0
3,abort,0x00000000,0,2,1,0
4,__errno_location,0x00000000,0,2,1,0
5,open,0x00000000,0,2,1,0
6,mmap,0x00000000,0,2,1,0
7,ffs,0x00000000,0,2,1,0
8,drmBOUnmap,0x00000000,0,2,1,0
9,strerror,0x00000000,0,2,1,0
10,XML_ParserCreate,0x00000000,0,2,1,0
11,bsearch,0x00000000,0,2,1,0
12,drmFenceSignaled,0x00000000,0,2,1,0
13,__fprintf_chk,0x00000000,0,2,1,0
14,__gmon_start__,0x00000000,0,0,2,0
15,_Jv_RegisterClasses,0x00000000,0,0,2,0
16,sched_yield,0x00000000,0,2,1,0
17,__progname,0x00000000,0,1,1,0
18,__printf_chk,0x00000000,0,2,1,0
19,strtod,0x00000000,0,2,1,0
20,strchr,0x00000000,0,2,1,0
21,getenv,0x00000000,0,2,1,0
22,calloc,0x00000000,0,2,1,0
23,strncpy,0x00000000,0,2,1,0
24,putchar,0x00000000,0,2,1,0
25,pow,0x00000000,0,2,1,0
26,dlclose,0x00000000,0,2,1,0
27,drmFreeVersion,0x00000000,0,2,1,0
28,XML_GetErrorCode,0x00000000,0,2,1,0
29,XML_SetUserData,0x00000000,0,2,1,0
30,memset,0x00000000,0,2,1,0
31,__memcpy_chk,0x00000000,0,2,1,0
32,drmBOMap,0x00000000,0,2,1,0
33,_glapi_get_dispatch_table_size,0x00000000,0,0,1,0
34,frexpf,0x00000000,0,2,1,0
35,__assert_fail,0x00000000,0,2,1,0
36,__vsnprintf_chk,0x00000000,0,2,1,0
37,XML_GetCurrentColumnNumber,0x00000000,0,2,1,0
38,read,0x00000000,0,2,1,0
39,usleep,0x00000000,0,2,1,0
40,strtol,0x00000000,0,2,1,0
41,free,0x00000000,0,2,1,0
42,drmUnlock,0x00000000,0,2,1,0
43,dlsym,0x00000000,0,2,1,0
44,__vfprintf_chk,0x00000000,0,2,1,0
45,drmBOUnreference,0x00000000,0,2,1,0
46,pthread_mutex_unlock,0x00000000,0,2,1,0
47,drmBOWaitIdle,0x00000000,0,2,1,0
48,__vsprintf_chk,0x00000000,0,2,1,0
49,fclose,0x00000000,0,2,1,0
50,_setjmp,0x00000000,0,2,1,0
51,XML_ParseBuffer,0x00000000,0,2,1,0
52,_glapi_get_dispatch,0x00000000,0,0,1,0
53,stderr,0x00000000,0,1,1,0
54,memcpy,0x00000000,0,2,1,0
55,fopen,0x00000000,0,2,1,0
56,pthread_mutex_destroy,0x00000000,0,2,1,0
