elf_va,ghidra_va,name,body_bytes,is_thunk,calling_function_count,called_function_count
"0x0001e3a4","0002e3a4","_init",48,false,0,3
"0x0001e3d4","0002e3d4","FUN_0002e3d4",12,false,0,0
"0x0001e3e4","0002e3e4","getpagesize",6,true,1,1
"0x0001e3f4","0002e3f4","fputs",6,true,2,1
"0x0001e404","0002e404","abort",6,true,24,1
"0x0001e414","0002e414","__errno_location",6,true,4,1
"0x0001e424","0002e424","open",6,true,1,1
"0x0001e434","0002e434","mmap",6,true,1,1
"0x0001e444","0002e444","ffs",6,true,3,1
"0x0001e454","0002e454","drmBOUnmap",6,true,2,1
"0x0001e464","0002e464","strerror",6,true,4,1
"0x0001e474","0002e474","XML_ParserCreate",6,true,2,1
"0x0001e484","0002e484","bsearch",6,true,2,1
"0x0001e494","0002e494","drmFenceSignaled",6,true,1,1
"0x0001e4a4","0002e4a4","__fprintf_chk",6,true,20,1
"0x0001e4b4","0002e4b4","__gmon_start__",6,true,1,1
"0x0001e4c4","0002e4c4","sched_yield",6,true,2,1
"0x0001e4d4","0002e4d4","__printf_chk",6,true,2,1
"0x0001e4e4","0002e4e4","strtod",6,true,1,1
"0x0001e4f4","0002e4f4","strchr",6,true,2,1
"0x0001e504","0002e504","getenv",6,true,6,1
"0x0001e514","0002e514","calloc",6,true,8,1
"0x0001e524","0002e524","strncpy",6,true,2,1
"0x0001e534","0002e534","putchar",6,true,1,1
"0x0001e544","0002e544","pow",6,true,2,1
"0x0001e554","0002e554","dlclose",6,true,1,1
"0x0001e564","0002e564","drmFreeVersion",6,true,1,1
"0x0001e574","0002e574","XML_GetErrorCode",6,true,2,1
"0x0001e584","0002e584","XML_SetUserData",6,true,2,1
"0x0001e594","0002e594","memset",6,true,20,1
"0x0001e5a4","0002e5a4","__memcpy_chk",6,true,1,1
"0x0001e5b4","0002e5b4","drmBOMap",6,true,2,1
"0x0001e5c4","0002e5c4","_glapi_get_dispatch_table_size",6,true,1,1
"0x0001e5e4","0002e5e4","__assert_fail",6,true,402,1
"0x0001e5f4","0002e5f4","__vsnprintf_chk",6,true,6,1
"0x0001e604","0002e604","XML_GetCurrentColumnNumber",6,true,4,1
"0x0001e614","0002e614","read",6,true,1,1
"0x0001e624","0002e624","usleep",6,true,1,1
"0x0001e634","0002e634","strtol",6,true,1,1
"0x0001e644","0002e644","free",6,true,37,1
"0x0001e654","0002e654","drmUnlock",6,true,3,1
"0x0001e664","0002e664","dlsym",6,true,2,1
"0x0001e674","0002e674","__vfprintf_chk",6,true,1,1
"0x0001e684","0002e684","drmBOUnreference",6,true,4,1
"0x0001e694","0002e694","pthread_mutex_unlock",6,true,85,1
"0x0001e6a4","0002e6a4","drmBOWaitIdle",6,true,1,1
"0x0001e6b4","0002e6b4","__vsprintf_chk",6,true,2,1
"0x0001e6c4","0002e6c4","fclose",6,true,1,1
"0x0001e6d4","0002e6d4","_setjmp",6,true,2,1
"0x0001e6e4","0002e6e4","XML_ParseBuffer",6,true,1,1
"0x0001e6f4","0002e6f4","_glapi_get_dispatch",6,true,388,1
"0x0001e704","0002e704","memcpy",6,true,45,1
"0x0001e714","0002e714","fopen",6,true,1,1
"0x0001e724","0002e724","pthread_mutex_destroy",6,true,4,1
"0x0001e734","0002e734","drmCloseOnce",6,true,1,1
"0x0001e744","0002e744","strcpy",6,true,1,1
"0x0001e754","0002e754","dlopen",6,true,1,1
"0x0001e764","0002e764","longjmp",6,true,2,1
