import_name,caller_elf_va,caller_ghidra_va,caller_name
"mmap","0x00177f07","00187f07","_mesa_exec_malloc"
"drmBOUnmap","0x0004297b","0005297b","FUN_0005297b"
"drmBOUnmap","0x000437fb","000537fb","FUN_000537fb"
"drmFenceSignaled","0x000452c7","000552c7","FUN_000552c7"
"drmFreeVersion","0x00021c89","00031c89","FUN_00031c89"
"drmBOMap","0x0004297b","0005297b","FUN_0005297b"
"drmBOMap","0x0004383e","0005383e","FUN_0005383e"
"drmUnlock","0x00051a58","00061a58","FUN_00061a58"
"drmUnlock","0x0003aa2a","0004aa2a","FUN_0004aa2a"
"drmUnlock","0x00048592","00058592","FUN_00058592"
"drmBOUnreference","0x0004354e","0005354e","FUN_0005354e"
"drmBOUnreference","0x00042d82","00052d82","FUN_00052d82"
"drmBOUnreference","0x000435c2","000535c2","FUN_000535c2"
"drmBOUnreference","0x0004297b","0005297b","FUN_0005297b"
"drmBOWaitIdle","0x00043678","00053678","FUN_00053678"
"drmCloseOnce","0x00021f8d","00031f8d","FUN_00031f8d"
"drmCommandWriteRead","0x000374f5","000474f5","FUN_000474f5"
"drmFenceWait","0x00044097","00054097","FUN_00054097"
"drmBOSetStatus","0x0004345a","0005345a","FUN_0005345a"
"drmFenceUnreference","0x00044107","00054107","FUN_00054107"
"drmBOReference","0x00043613","00053613","FUN_00053613"
"drmGetVersion","0x00021c89","00031c89","FUN_00031c89"
"drmBOCreate","0x0004297b","0005297b","FUN_0005297b"
"drmBOCreate","0x000436cc","000536cc","FUN_000536cc"
"drmUnmap","0x00021f8d","00031f8d","FUN_00031f8d"
"drmGetLock","0x00051ad0","00061ad0","FUN_00061ad0"
"drmGetLock","0x00048592","00058592","FUN_00058592"
"drmGetLock","0x0003aa2a","0004aa2a","FUN_0004aa2a"
"drmWaitVBlank","0x00020b90","00030b90","FUN_00030b90"
"drmWaitVBlank","0x00020d8c","00030d8c","FUN_00030d8c"
"drmWaitVBlank","0x00020e27","00030e27","FUN_00030e27"
"drmCommandWrite","0x00037b51","00047b51","FUN_00047b51"
