elf_va,file_offset,ascii
0x0000cd7c,0xcd7c,drmWaitVBlank
0x0000cd98,0xcd98,drmGetVersion
0x0000cda6,0xcda6,drmFreeVersion
0x0000cdb5,0xcdb5,drmUnmap
0x0000cdbe,0xcdbe,drmCloseOnce
0x0000d0bc,0xd0bc,drmCommandWriteRead
0x0000d0d0,0xd0d0,drmCommandWrite
0x0000d16e,0xd16e,drmUnlock
0x0000d178,0xd178,drmGetLock
0x0000d265,0xd265,drmBOCreate
0x0000d271,0xd271,drmBOMap
0x0000d27a,0xd27a,drmBOUnreference
0x0000d28b,0xd28b,drmBOUnmap
0x0000d2ca,0xd2ca,drmBOSetStatus
0x0000d2d9,0xd2d9,drmBOReference
0x0000d2e8,0xd2e8,drmBOWaitIdle
0x0000d302,0xd302,drmFenceWait
0x0000d30f,0xd30f,drmFenceUnreference
0x0000d323,0xd323,drmFenceSignaled
0x0000e085,0xe085,_mesa_delete_ati_fragment_shader
0x0000e198,0xe198,_mesa_free_shader
0x0000e1aa,0xe1aa,_mesa_free_shader_program
0x0000e1c4,0xe1c4,_mesa_free_shader_program_data
0x0000e39c,0xe39c,_mesa_free_shader_state
0x0000e47b,0xe47b,_mesa_new_ati_fragment_shader
0x0000e672,0xe672,_mesa_init_shader_state
0x00011ec5,0x11ec5,vbo_validate_shaders
0x00012c3a,0x12c3a,_mesa_SetFragmentShaderConstantATI
0x00012d22,0x12d22,_mesa_EndFragmentShaderATI
0x00012d3d,0x12d3d,_mesa_BeginFragmentShaderATI
0x00012d5a,0x12d5a,_mesa_BindFragmentShaderATI
0x00012d76,0x12d76,_mesa_DeleteFragmentShaderATI
0x00012d94,0x12d94,_mesa_GenFragmentShadersATI
0x00013418,0x13418,_mesa_lookup_shader
0x0001342c,0x1342c,_mesa_lookup_shader_program
0x00013484,0x13484,_mesa_new_shader
0x000134a4,0x134a4,_mesa_update_shader_textures_used
0x000134c6,0x134c6,_mesa_reference_shader
0x000134dd,0x134dd,_mesa_clear_shader_program_data
0x00013515,0x13515,_mesa_reference_shader_program
0x00013a8d,0x13a8d,_swrast_exec_fragment_shader
0x00014ea9,0x14ea9,_mesa_AttachShader
0x00014ed0,0x14ed0,_mesa_CreateShader
0x00014ef7,0x14ef7,_mesa_DeleteShader
0x00014f0a,0x14f0a,_mesa_DetachShader
0x00014f1d,0x14f1d,_mesa_GetAttachedShaders
0x00014f61,0x14f61,_mesa_GetShaderiv
0x00014f73,0x14f73,_mesa_GetShaderInfoLog
0x00014f9a,0x14f9a,_mesa_IsShader
0x000150ae,0x150ae,_mesa_CreateShaderObjectARB
0x000150ca,0x150ca,_mesa_ShaderSourceARB
0x000150e0,0x150e0,_mesa_CompileShaderARB
0x000153c6,0x153c6,_mesa_GetShaderSourceARB
0x00255008,0x255008,Mesa DRI %s %s
0x00255500,0x255500,%s DRI driver expected %s version %d-%d.%d.x but got version %d.%d.%d
0x00255560,0x255560,%s DRI driver expected %s version %d.%d.x but got version %d.%d.%d
0x002568af,0x2568af,"?%s: drmWaitVBlank returned %d, IRQs don't seem to be working correctly."
0x00256954,0x256954,../common/vblank.c
0x00256990,0x256990,DRI_GetDrawableInfo
0x002569a4,0x2569a4,DRI_Damage
0x002569af,0x2569af,DRI_SystemTime
0x002569be,0x2569be,DRI_DRI2Loader
0x002569e8,0x2569e8,DRI_ReadDrawable
0x002569f9,0x2569f9,DRI_MediaStreamCounter
0x00256a10,0x256a10,DRI_CopySubBuffer
0x00256a22,0x256a22,DRI_SwapControl
0x00256a32,0x256a32,DRI_Core
0x00256a3b,0x256a3b,DRI_Legacy
0x00256a46,0x256a46,DRI_DRI2
0x00256a4f,0x256a4f,DRI_FrameTracking
0x00256a6f,0x256a6f,>../common/xmlconfig.c
0x00256aa0,0x256aa0,info->type != DRI_BOOL
0x00256bd0,0x256bd0,cache->info[i].type == DRI_FLOAT
0x00256bf4,0x256bf4,cache->info[i].type == DRI_INT || cache->info[i].type == DRI_ENUM
0x00256c38,0x256c38,cache->info[i].type == DRI_BOOL
0x00257c8f,0x257c8f,=../common/drirenderbuffer.c
0x00257de7,0x257de7,psb_query.c
0x00257e10,0x257e10,psb_query_get_result
0x00257e25,0x257e25,psb_scene_result.c
0x00257e62,0x257e62,psb_scene_result_value
0x00257e79,0x257e79,psb_scene_result_ready
0x00257e90,0x257e90,psb_ps_primary.c
0x00257ecc,0x257ecc,psb_emit_ps_primary_compiled
0x00257ee9,0x257ee9,psb_render.c
0x00257f35,0x257f35,!psb->scene
0x00257f58,0x257f58,vertex_size == psb_context( &pbr->intel->ctx )->current.vertex_size
0x00258120,0x258120,psb_scene.c
0x002581b1,0x2581b1,psb_scene_create
0x002581cb,0x2581cb,Gpsb_scene_bufs.c
0x002581e0,0x2581e0,!psb_context(&buf->intel->ctx)->scene
0x00258206,0x258206,psb_scene_bufs_reset
0x0025821b,0x25821b,psb_scene_draw.c
0x0025827f,0x25827f,psb_scene_draw_elements
0x00258297,0x258297,psb_scene_flush_prim
0x002582ac,0x2582ac,psb_scene_heap.c
0x002582ce,0x2582ce,psb_scene_new_heap
0x002582e1,0x2582e1,psb_scene_state.c
0x00258308,0x258308,psb_use.h
0x00258374,0x258374,psb_upload_input_state_program
0x002583aa,0x2583aa,psb_diff_mte_states
0x002583be,0x2583be,psb_upload_state_program
0x002583f7,0x2583f7,?psb_scene_terminate.c
0x0025840e,0x25840e,psb_scene_preterminate
0x00258425,0x258425,psb_scene_zclear.c
0x0025846b,0x25846b,psb_scene_zclear
0x0025847c,0x25847c,psb_state_clip.c
0x002584ac,0x2584ac,psb_state_mteusse.c
0x00258500,0x258500,psb_translate_isp_prim
0x00258517,0x258517,psb_translate_depthfunc
0x0025852f,0x25852f,psb_translate_stencil_func
0x0025854a,0x25854a,psb_translate_stencil_op
0x00258563,0x258563,psb_state_fragprog.c
0x002585a0,0x2585a0,psb_state_texctrl.c
0x002586c0,0x2586c0,psb_set_texctrl
0x002586fb,0x2586fb,@psb_state_vertex.c
0x0025870f,0x25870f,psb_fp
0x00258716,0x258716,psb_calculate_vertex_format
0x00258732,0x258732,psb_state_vertprog.c
0x00258774,0x258774,psb_background_object.c
0x002587c0,0x2587c0,psb_setup_render_background_object
0x002587e3,0x2587e3,psb_use.c
0x00258c7c,0x258c7c,psb_use_mesa.c
0x00258e9d,0x258e9d,psb_use_mesa_fp.c
0x0025900b,0x25900b,psb_use_mesa_vp.c
0x002590e2,0x2590e2,psb_use_compiler.c
0x002590f5,0x2590f5,PVRUniFlexCompileToHw failed
0x00259218,0x259218,psb_translate_texform_uf
0x002593e9,0x2593e9,psb_use_blend.c
0x00259463,0x259463,GL_ARB_fragment_shader
0x00259520,0x259520,psb_ioctl.c
0x00259536,0x259536,RelocBuffer
0x00259542,0x259542,SuperFence
0x00259550,0x259550,buf->startReloc != ((void *)0)
0x00259570,0x259570,buf->reloc_allocation - reloc > 0
0x002595c9,0x2595c9,psbSetUSEOffsRelocation
0x002595e1,0x2595e1,psbSetUSERegRelocation
0x002595f8,0x2595f8,psbSetOffsetRelocation
0x0025960f,0x25960f,psb_outbuf.c
0x0025961c,0x25961c,outbuf->reserved == 0
0x00259632,0x259632,outbuf->relocs_reserved == 0
0x0025964f,0x25964f,outbuf->map == ((void *)0)
0x0025966a,0x25966a,outbuf->ptr == ((void *)0)
0x00259685,0x259685,align <= outbuf->alignment
0x002596a0,0x2596a0,outbuf->allocation == 0
0x002596b8,0x2596b8,outbuf->ptr
0x002596c4,0x2596c4,outbuf->relocs_reserved >= max_relocs
0x002596ec,0x2596ec,outbuf->reserved >= upper_bound
0x0025970c,0x25970c,outbuf->bufaddr->size <= outbuf->allocation
0x00259738,0x259738,cb->reloc_allocation - cb->curReloc >= 0
0x00259764,0x259764,outbuf->driBO == bufaddr->driBO
0x00259784,0x259784,outbuf->ptr - outbuf->map <= outbuf->size
0x002597b0,0x2597b0,(((unsigned long)outbuf->map) & (align-1)) == 0
0x002597e0,0x2597e0,outbuf->pool_bufsize >= minsize
0x00259800,0x259800,start + upper_bound <= outbuf->size
0x00259824,0x259824,psb_outbuf_release_reservation
