from_elf_va,to_elf_va,edge,condition,state_field,evidence_class,evidence,limit
0x0004bd92,0x000371f0,direct_call,DRI CreateContext,context,CONFIRMED,psb_dri.so:0x4bd92;Mesa-7.4.4/dri_util.h:153-157,exact Mesa build UNKNOWN
0x000371f0,0x00026678,direct_call,context setup,context+0x728,CONFIRMED,psb_dri.so:0x371f0,none
0x0002d124,0x000dd16d,direct_call,renderer selection;mode-3 table selected on one branch,context+0x728;clip+0xf8,CONFIRMED,psb_dri.so:0x2d124,exact GL entry to selection UNKNOWN
0x000dd16d,0x000dea86,state_propagation,clip renderer selected,clip+0xf8 to pipe+0x103c,CONFIRMED,psb_dri.so:0xdd16d;0xdea86,functions are not direct caller/callee
0x000dea09,0x00026896,resolved_indirect,clip pipe emits indexed path;selected renderer is mode-3 table,pipe+0x103c;+0x1c,INFERRED,psb_dri.so:0xdea09;0xdea86;0x26678,mode selection and pipeline path condition must both hold
0x00048592,0x00051830,direct_call,context setup,context+0x730,CONFIRMED,psb_dri.so:0x48d07-0x48d0f,none
0x00051860,0x00026dbd,resolved_indirect,new_mode=3,renderer+0x08;context+0x728,CONFIRMED,psb_dri.so:0x519cc-0x519dd;0x266c1,context table assumed retained
0x00026dbd,0x00027060,direct_call,start render,context+0x81c,CONFIRMED,psb_dri.so:0x26dbd,none
0x00026a0f,0x00026896,direct_call,indexed primitive,renderer+0x18;+0x1c,CONFIRMED,psb_dri.so:0x26a0f,private frontend invocation UNKNOWN
0x00026896,0x00027fa0,direct_call,indexed draw,context+0x81c,CONFIRMED,psb_dri.so:0x26896,none
0x00027fa0,0x0003b890,direct_call,TA index-list emission,scene+0x166,CONFIRMED,psb_dri.so:0x27fa0,packet semantics UNKNOWN
0x00026896,0x00051a1f,direct_call,first scene draw attempt fails,context+0x730,CONFIRMED,psb_dri.so:0x26896,failure reason varies
0x00026c9f,0x00051a1f,direct_call,vertex allocation fails,context+0x730,CONFIRMED,psb_dri.so:0x26c9f,none
0x00051a1f,0x00051860,direct_call,new_mode=0 then restore old,frame_tracker_mode,CONFIRMED,psb_dri.so:0x51a1f,none
0x000477b3,0x00051860,direct_call,swap;new_mode=1,frame_tracker_mode,CONFIRMED,psb_dri.so:0x477b3,none
0x000473bd,0x00051860,direct_call,color/depth attachment changed;new_mode=0,context+0x688;+0x68c,CONFIRMED,psb_dri.so:0x473bd,none
0x000483d4,0x000483a3,direct_call,DRI UnbindContext,context+0x730,CONFIRMED,psb_dri.so:0x483d4;driver API table+0x20,none
