graph,extension_name,descriptor_elf_va,descriptor_file_offset,abi_version,field_offset,field_role,callback_elf_va,ghidra_original_name,proposed_role,evidence_class,evidence
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x00,name,,,,CONFIRMED,ELF pointer and Mesa 7.4.4 __DRIextensionRec name field
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x04,version,,,,CONFIRMED,ELF value and Mesa 7.4.4 ABI version field
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x08,createNewScreen,NULL,,,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x0c,destroyScreen,0x00021f8d,FUN_00031f8d,DRI_Core.destroyScreen,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x10,getExtensions,0x000213a0,FUN_000313a0,DRI_Core.getExtensions,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x14,getConfigAttrib,0x0001ec1d,FUN_0002ec1d,DRI_Core.getConfigAttrib,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x18,indexConfigAttrib,0x0001ec67,FUN_0002ec67,DRI_Core.indexConfigAttrib,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x1c,createNewDrawable,NULL,,,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x20,destroyDrawable,0x00021846,FUN_00031846,DRI_Core.destroyDrawable,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x24,swapBuffers,0x00021790,FUN_00031790,DRI_Core.swapBuffers,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x28,createNewContext,NULL,,,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
exported_root,DRI_Core,0x002b9620,0x2b8620,1,0x2c,copyContext,0x00021396,FUN_00031396,DRI_Core.copyContext,CONFIRMED,32-bit descriptor field at Mesa 7.4.4 ABI offset; function behavior not inferred
