elf_va,ghidra_va,original_name,proposed_roles,classification,evidence_class,reason,callers,callees,important_strings,important_imports
0x0001ec1d,0x0002ec1d,FUN_0002ec1d,DRI_Core.getConfigAttrib,DRI_GLUE,CONFIRMED,Non-null pointer in Mesa 7.4.4 DRI descriptor field; body decompiled but not semantically resolved here,,0x0001ead7;0x0001eb7a,,
0x0001ec67,0x0002ec67,FUN_0002ec67,DRI_Core.indexConfigAttrib,DRI_GLUE,CONFIRMED,Non-null pointer in Mesa 7.4.4 DRI descriptor field; body decompiled but not semantically resolved here,,0x0001ead7;0x0001eb7a,,
0x000211d1,0x000311d1,FUN_000311d1,DRI_Core.unbindContext,DRI_GLUE,CONFIRMED,Non-null pointer in Mesa 7.4.4 DRI descriptor field; body decompiled but not semantically resolved here,,,,
0x00021278,0x00031278,FUN_00031278,DRI_MediaStreamCounter.getDrawableMSC,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Dispatches drawable callback at +0x3c,,,,
0x00021297,0x00031297,FUN_00031297,DRI_MediaStreamCounter.waitForMSC,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Dispatches screen callbacks at +0x2c and +0x28,,,,
0x0002130f,0x0003130f,FUN_0003130f,DRI_CopySubBuffer.copySubBuffer,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Dispatches screen callback at +0x38,,0x0002122c,,
0x0002137d,0x0003137d,FUN_0003137d,DRI_SwapControl.setSwapInterval,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Stores interval at drawable +0x68,,,,
0x0002138b,0x0003138b,FUN_0003138b,DRI_SwapControl.getSwapInterval,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Reads interval at drawable +0x68,,,,
0x00021396,0x00031396,FUN_00031396,DRI_Core.copyContext,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Returns constant zero; functionality not inferred,,,,
0x000213a0,0x000313a0,FUN_000313a0,DRI_Core.getExtensions,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Returns screen field +0x44,,,,
0x000213ab,0x000313ab,FUN_000313ab,DRI_FrameTracking.frameTracking,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Returns constant 5; functionality not inferred,,,,
0x00021456,0x00031456,FUN_00031456,DRI_FrameTracking.queryFrameTracking,DRI_GLUE,CONFIRMED,Non-null pointer in Mesa 7.4.4 DRI descriptor field; body decompiled but not semantically resolved here,,0x000213b5,,
0x000214e9,0x000314e9,FUN_000314e9,DRI_Legacy.createNewContext,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Allocates 0x18-byte wrapper and dispatches screen callback,0x000215aa,0x0001ead7;0x000909e4;0x00090b3c,,
0x000215aa,0x000315aa,FUN_000315aa,DRI_DRI2.createNewContext,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Calls legacy context constructor,,0x000214e9,,
