order,pointer_slot_va,atom_va,atom_file_offset,source_label,dirty_mask_0,dirty_mask_1,callback_va,confidence,binary_sha256
0,0x002bb200,0x002b32d8,0x002b22d8,,0x00844800,0x00000000,0x0002bae0,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
1,0x002bb204,0x002b32b8,0x002b22b8,,0x09806c00,0x00000000,0x0002b652,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
2,0x002bb208,0x002b3368,0x002b2368,,0x00000000,0x00000074,0x0002d124,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
3,0x002bb20c,0x002b32c8,0x002b22c8,,0x00080000,0x00000000,0x0002b4e0,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
4,0x002bb210,0x002b33b8,0x002b23b8,,0x01100000,0x00000000,0x0002ed5c,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
5,0x002bb214,0x002b3388,0x002b2388,,0x00040000,0x00000000,0x0002d2f9,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
6,0x002bb218,0x002b3318,0x002b2318,,0x00060020,0x00000200,0x0002c852,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
7,0x002bb21c,0x002b3328,0x002b2328,,0x00000020,0x02000200,0x0002c610,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
8,0x002bb220,0x002b3398,0x002b2398,,0x00000000,0x00000242,0x0002daad,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
9,0x002bb224,0x002b33a8,0x002b23a8,,0x08000400,0x00100002,0x0002d940,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
10,0x002bb228,0x002b32e8,0x002b22e8,,0x01024060,0x08000204,0x0002bfdf,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
11,0x002bb22c,0x002b32f8,0x002b22f8,,0x01004400,0x00000000,0x0002bc07,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
12,0x002bb230,0x002b3308,0x002b2308,,0x01100000,0x00000000,0x0002be59,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
13,0x002bb234,0x002b3338,0x002b2338,,0x00000400,0x04420800,0x0002d015,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
14,0x002bb238,0x002b3348,0x002b2348,,0x00000000,0x00000200,0x0002cc10,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
15,0x002bb23c,0x002b3358,0x002b2358,,0x00000020,0x05460200,0x0002cca3,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
16,0x002bb240,0x002b3378,0x002b2378,,0x01010000,0x00000000,0x0002d1a8,CONFIRMED,74ca42991906741ee91be1bc088ae0b142fa71b6a85658c5dad0851ce50dd0d8
