index,name,elf_va,size,type,binding,section_index
0,,0x00000000,0,0,0,0
1,getpagesize,0x00000000,0,2,1,0
2,xf86GetEntityPrivate,0x00000000,0,0,1,0
3,abort,0x00000000,0,2,1,0
4,__errno_location,0x00000000,0,2,1,0
5,xf86CrtcConfigPrivateIndex,0x00000000,0,0,1,0
6,drmBOUnmap,0x00000000,0,0,1,0
7,pthread_join,0x00000000,0,2,1,0
8,strerror,0x00000000,0,2,1,0
9,drmFenceSignaled,0x00000000,0,0,1,0
10,__fprintf_chk,0x00000000,0,2,1,0
11,__gmon_start__,0x00000000,0,0,2,0
12,_Jv_RegisterClasses,0x00000000,0,0,2,0
13,sched_yield,0x00000000,0,2,1,0
14,ErrorF,0x00000000,0,0,1,0
15,getenv,0x00000000,0,2,1,0
16,calloc,0x00000000,0,2,1,0
17,system,0x00000000,0,2,1,0
18,Xalloc,0x00000000,0,0,1,0
19,drmFreeVersion,0x00000000,0,0,1,0
20,drmBOMap,0x00000000,0,0,1,0
21,xf86DrvMsg,0x00000000,0,0,1,0
22,__assert_fail,0x00000000,0,2,1,0
23,__strcat_chk,0x00000000,0,2,1,0
24,gettimeofday,0x00000000,0,2,1,0
25,free,0x00000000,0,2,1,0
26,drmCommandNone,0x00000000,0,0,1,0
27,drmBOUnreference,0x00000000,0,0,1,0
28,drmBOWaitIdle,0x00000000,0,0,1,0
29,fclose,0x00000000,0,2,1,0
30,LookupIDByClass,0x00000000,0,0,1,0
31,stderr,0x00000000,0,1,1,0
32,memcpy,0x00000000,0,2,1,0
33,fopen,0x00000000,0,2,1,0
34,miEmptyData,0x00000000,0,0,1,0
35,sigdelset,0x00000000,0,2,1,0
36,pthread_sigmask,0x00000000,0,2,1,0
37,Xcalloc,0x00000000,0,0,1,0
38,Xfree,0x00000000,0,0,1,0
39,drmBOVersion,0x00000000,0,0,1,0
40,DamageDamageRegion,0x00000000,0,0,1,0
41,xf86AllocateEntityPrivateIndex,0x00000000,0,0,1,0
42,drmFenceWait,0x00000000,0,0,1,0
43,malloc,0x00000000,0,2,1,0
44,miTranslateRegion,0x00000000,0,0,1,0
45,__stack_chk_fail,0x00000000,0,2,1,0
46,fputc,0x00000000,0,2,1,0
47,pthread_create,0x00000000,0,2,1,0
48,drmFenceUnreference,0x00000000,0,0,1,0
49,sigfillset,0x00000000,0,2,1,0
50,drmBOReference,0x00000000,0,0,1,0
51,drmGetVersion,0x00000000,0,0,1,0
52,__sprintf_chk,0x00000000,0,2,1,0
53,fread,0x00000000,0,2,1,0
54,drmBOCreate,0x00000000,0,0,1,0
