rel_section,target_va,target_file_offset,type,symbol_index,symbol_name,inplace_addend
.rel.dyn,0x0000efd0,0xdfd0,8,0,,0x000030f0
.rel.dyn,0x0000efe8,0xdfe8,8,0,,0x00003450
.rel.dyn,0x0000f0e0,0xe0e0,8,0,,0x0000f0e0
.rel.dyn,0x0000f100,0xe100,8,0,,0x0000f160
.rel.dyn,0x0000f104,0xe104,8,0,,0x00002620
.rel.dyn,0x0000f124,0xe124,8,0,,0x0000cd80
.rel.dyn,0x0000f130,0xe130,8,0,,0x00002600
.rel.dyn,0x0000f160,0xe160,8,0,,0x0000cd80
.rel.dyn,0x0000f164,0xe164,8,0,,0x0000cd85
.rel.dyn,0x0000efc4,0xdfc4,6,5,xf86CrtcConfigPrivateIndex,0x00000000
.rel.dyn,0x0000efc8,0xdfc8,6,11,__gmon_start__,0x00000000
.rel.dyn,0x0000efcc,0xdfcc,6,12,_Jv_RegisterClasses,0x00000000
.rel.dyn,0x0000efd4,0xdfd4,6,103,XpsbOpaqueOps,0x00000000
.rel.dyn,0x0000efd8,0xdfd8,6,31,stderr,0x00000000
.rel.dyn,0x0000efdc,0xdfdc,6,141,XpsbEntityIndex,0x00000000
.rel.dyn,0x0000efe0,0xdfe0,6,34,miEmptyData,0x00000000
.rel.dyn,0x0000efe4,0xdfe4,6,86,gExitThread,0x00000000
.rel.dyn,0x0000efec,0xdfec,6,57,__cxa_finalize,0x00000000
.rel.dyn,0x0000eff0,0xdff0,6,58,miEmptyBox,0x00000000
.rel.plt,0x0000f000,0xe000,7,1,getpagesize,0x000021e6
.rel.plt,0x0000f004,0xe004,7,2,xf86GetEntityPrivate,0x000021f6
.rel.plt,0x0000f008,0xe008,7,3,abort,0x00002206
.rel.plt,0x0000f00c,0xe00c,7,4,__errno_location,0x00002216
.rel.plt,0x0000f010,0xe010,7,6,drmBOUnmap,0x00002226
.rel.plt,0x0000f014,0xe014,7,7,pthread_join,0x00002236
.rel.plt,0x0000f018,0xe018,7,8,strerror,0x00002246
.rel.plt,0x0000f01c,0xe01c,7,9,drmFenceSignaled,0x00002256
.rel.plt,0x0000f020,0xe020,7,10,__fprintf_chk,0x00002266
.rel.plt,0x0000f024,0xe024,7,11,__gmon_start__,0x00002276
.rel.plt,0x0000f028,0xe028,7,13,sched_yield,0x00002286
.rel.plt,0x0000f02c,0xe02c,7,14,ErrorF,0x00002296
.rel.plt,0x0000f030,0xe030,7,15,getenv,0x000022a6
.rel.plt,0x0000f034,0xe034,7,16,calloc,0x000022b6
.rel.plt,0x0000f038,0xe038,7,17,system,0x000022c6
.rel.plt,0x0000f03c,0xe03c,7,18,Xalloc,0x000022d6
.rel.plt,0x0000f040,0xe040,7,19,drmFreeVersion,0x000022e6
.rel.plt,0x0000f044,0xe044,7,20,drmBOMap,0x000022f6
.rel.plt,0x0000f048,0xe048,7,21,xf86DrvMsg,0x00002306
.rel.plt,0x0000f04c,0xe04c,7,22,__assert_fail,0x00002316
.rel.plt,0x0000f050,0xe050,7,23,__strcat_chk,0x00002326
.rel.plt,0x0000f054,0xe054,7,24,gettimeofday,0x00002336
.rel.plt,0x0000f058,0xe058,7,25,free,0x00002346
.rel.plt,0x0000f05c,0xe05c,7,26,drmCommandNone,0x00002356
.rel.plt,0x0000f060,0xe060,7,27,drmBOUnreference,0x00002366
.rel.plt,0x0000f064,0xe064,7,28,drmBOWaitIdle,0x00002376
.rel.plt,0x0000f068,0xe068,7,29,fclose,0x00002386
.rel.plt,0x0000f06c,0xe06c,7,30,LookupIDByClass,0x00002396
.rel.plt,0x0000f070,0xe070,7,32,memcpy,0x000023a6
.rel.plt,0x0000f074,0xe074,7,33,fopen,0x000023b6
.rel.plt,0x0000f078,0xe078,7,35,sigdelset,0x000023c6
.rel.plt,0x0000f07c,0xe07c,7,36,pthread_sigmask,0x000023d6
.rel.plt,0x0000f080,0xe080,7,37,Xcalloc,0x000023e6
.rel.plt,0x0000f084,0xe084,7,38,Xfree,0x000023f6
.rel.plt,0x0000f088,0xe088,7,39,drmBOVersion,0x00002406
.rel.plt,0x0000f08c,0xe08c,7,40,DamageDamageRegion,0x00002416
.rel.plt,0x0000f090,0xe090,7,41,xf86AllocateEntityPrivateIndex,0x00002426
.rel.plt,0x0000f094,0xe094,7,42,drmFenceWait,0x00002436
.rel.plt,0x0000f098,0xe098,7,43,malloc,0x00002446
.rel.plt,0x0000f09c,0xe09c,7,44,miTranslateRegion,0x00002456
.rel.plt,0x0000f0a0,0xe0a0,7,45,__stack_chk_fail,0x00002466
.rel.plt,0x0000f0a4,0xe0a4,7,46,fputc,0x00002476
.rel.plt,0x0000f0a8,0xe0a8,7,47,pthread_create,0x00002486
.rel.plt,0x0000f0ac,0xe0ac,7,48,drmFenceUnreference,0x00002496
.rel.plt,0x0000f0b0,0xe0b0,7,49,sigfillset,0x000024a6
.rel.plt,0x0000f0b4,0xe0b4,7,50,drmBOReference,0x000024b6
.rel.plt,0x0000f0b8,0xe0b8,7,51,drmGetVersion,0x000024c6
.rel.plt,0x0000f0bc,0xe0bc,7,52,__sprintf_chk,0x000024d6
.rel.plt,0x0000f0c0,0xe0c0,7,53,fread,0x000024e6
.rel.plt,0x0000f0c4,0xe0c4,7,54,drmBOCreate,0x000024f6
.rel.plt,0x0000f0c8,0xe0c8,7,55,xf86AddModuleInfo,0x00002506
.rel.plt,0x0000f0cc,0xe0cc,7,56,FatalError,0x00002516
.rel.plt,0x0000f0d0,0xe0d0,7,57,__cxa_finalize,0x00002526
.rel.plt,0x0000f0d4,0xe0d4,7,59,drmCommandWrite,0x00002536
