# ELF virtual addresses, not Ghidra image addresses.
0x2690 XpsbInit
0x2670 XpsbShaderCode
0x2f10 XpsbTakeDown
0x30f0 XpsbThread
0x3450 XpsbHotPlugThread
0x3820 Xpsb_sgx_initialize
0x38f0 Xpsb_sgx_check_lockup
0x3d70 Xpsb_ta_mem_info
0x3df0 Xpsb_ta_mem_load
0x4550 Xpsb_scene_switch_fire
0x4af0 Xpsb_set_vopt
0x4e10 Xpsb_er_kick_wait_clear
0x4f10 Xpsb_closed_kick_ta
0x5040 Xpsb_closed_kick_render
0x3a40 Xpsb_scene_info
0x4ca0 Xpsb_poll_reg_for_value
0x51c0 Xpsb3DContextInit
0x9cd0 XpsbFlush2D
0x9f70 XpsbFlush3D
0x8d90 Xpsb_emit_use_relocation
0x8f90 XpsbSetUSEOffsRelocation
0x91d0 XpsbSetOffsetRelocation
0x93d0 XpsbSetOffsetDRMBORelocation
0x95e0 XpsbErrorBuffer
0x981b unnamed command-write caller
0x9a10 XpsbFlush3DVideoBlit
0xa890 XpsbInitBufMgr
0xa660 XpsbCompositeShader
0x5c40 psb3DCompositeFinish
0x5ee0 psb3DPrepareComposite
0x6430 psb3DCompositeQuad
0x82c0 Xpsb_emit_pixel_shader
0xb170 XpsbBOValidateUserList
0xb410 XpsbBOAddListItem
0xbaa0 XpsbBOData
0xae70 XpsbGenBuffers
0xbda0 XpsbBOWaitIdle
0xbf20 XpsbFenceFinish
0xc060 XpsbBatchPoolInit
0xc7f0 XpsbDRMPoolInit
